33 chapters, 1314 paragraphs, 176671 chars (core 869) (medium 206) (long 239)
Voice ne-NP-HemkalaNeural  rate -22%  pitch -6Hz  volume -12%

[bedtime] Bedtime: rate -22% pitch -6Hz, one clip per sentence
  ✓ ch03-p06-s00  (36 chars, 24KB)
  ✓ ch03-p06-s02  (37 chars, 27KB)
  ✓ ch03-p07-s00  (43 chars, 32KB)
  ✓ ch03-p06-s01  (74 chars, 45KB)
  ✓ ch03-p07-s01  (67 chars, 46KB)
  ✓ ch03-p06-s03  (98 chars, 59KB)
  ✓ ch03-p07-s02  (23 chars, 18KB)
  ✓ ch03-p07-s03  (37 chars, 25KB)
  ✓ ch03-p07-s04  (29 chars, 21KB)
  ✓ ch03-p08-s02  (24 chars, 19KB)
  ✓ ch03-p08-s01  (72 chars, 45KB)
  ✓ ch03-p08-s00  (19 chars, 17KB)
  ✓ ch03-p09-s00  (48 chars, 30KB)
  ✓ ch03-p10-s00  (41 chars, 35KB)
  ✓ ch03-p09-s01  (70 chars, 43KB)
  ✓ ch03-p10-s01  (30 chars, 22KB)
  ✓ ch03-p10-s02  (17 chars, 18KB)
  ✓ ch03-p11-s00  (22 chars, 16KB)
  ✓ ch03-p11-s02  (44 chars, 30KB)
  ✓ ch03-p12-s00  (53 chars, 33KB)
  ✓ ch03-p11-s01  (69 chars, 41KB)
  ✓ ch03-p12-s01  (101 chars, 63KB)
  ✓ ch03-p14-s00  (18 chars, 17KB)
  ✓ ch03-p13-s00  (58 chars, 38KB)
  ✓ ch03-p14-s01  (112 chars, 70KB)
  ✓ ch03-p14-s02  (128 chars, 77KB)
  ✓ ch03-p15-s00  (37 chars, 26KB)
  ✓ ch03-p15-s01  (48 chars, 30KB)
  ✓ ch03-p14-s03  (114 chars, 81KB)
  ✓ ch03-p14-s04  (127 chars, 76KB)
  ✓ ch03-p16-s00  (84 chars, 65KB)
  ✓ ch03-p18-s00  (22 chars, 20KB)
  ✓ ch03-p21-s00  (14 chars, 15KB)
  ✓ ch03-p18-s01  (20 chars, 17KB)
  ✓ ch03-p19-s00  (61 chars, 54KB)
  ✓ ch03-p21-s01  (66 chars, 38KB)
  ✓ ch03-p22-s01  (26 chars, 20KB)
  ✓ ch03-p23-s00  (31 chars, 23KB)
  ✓ ch03-p22-s00  (93 chars, 61KB)
  ✓ ch03-p23-s01  (58 chars, 36KB)
  ✓ ch03-p23-s02  (40 chars, 27KB)
  ✓ ch03-p24-s00  (77 chars, 46KB)
  ✓ ch03-p24-s01  (25 chars, 19KB)
  ✓ ch03-p25-s00  (27 chars, 21KB)
  ✓ ch03-p25-s01  (47 chars, 31KB)
  ✓ ch03-p26-s00  (35 chars, 32KB)
  ✓ ch03-p26-s01  (20 chars, 17KB)
  ✓ ch03-p25-s02  (61 chars, 39KB)
  ✓ ch03-p27-s00  (24 chars, 19KB)
  ✓ ch03-p27-s01  (38 chars, 28KB)
  ✓ ch03-p28-s00  (17 chars, 16KB)
  ✓ ch03-p28-s01  (81 chars, 47KB)
  ✓ ch03-p29-s01  (27 chars, 19KB)
  ✓ ch03-p29-s00  (77 chars, 44KB)
  ✓ ch03-p30-s00  (46 chars, 29KB)
  ✓ ch03-p30-s02  (29 chars, 21KB)
  ✓ ch03-p30-s01  (81 chars, 48KB)
  ✓ ch03-p31-s00  (14 chars, 15KB)
  ✓ ch04-p00-s00  (20 chars, 17KB)
  ✓ ch03-p31-s01  (39 chars, 30KB)
  ✓ ch04-p00-s01  (29 chars, 23KB)
  ✓ ch04-p01-s00  (28 chars, 29KB)
