28 chapters, 1081 paragraphs, 136920 chars (core 556) (medium 209) (long 316)
Voice ne-NP-SagarNeural  rate -20%  pitch -3Hz  volume -12%

[bedtime] Bedtime: rate -20% pitch -3Hz, one clip per sentence
  ✓ ch04-p12-s01  (86 chars, 44KB)
  ✓ ch04-p10-s04  (94 chars, 53KB)
  ✓ ch04-p11-s01  (37 chars, 24KB)
  ✓ ch04-p13-s00  (29 chars, 20KB)
  ✓ ch04-p13-s01  (74 chars, 40KB)
  ✓ ch04-p14-s00  (32 chars, 21KB)
  ✓ ch04-p14-s01  (56 chars, 34KB)
  ✓ ch04-p11-s03  (47 chars, 28KB)
  ✓ ch04-p13-s02  (71 chars, 41KB)
  ✓ ch04-p17-s00  (20 chars, 17KB)
  ✓ ch04-p14-s02  (103 chars, 66KB)
  ✓ ch04-p18-s00  (49 chars, 43KB)
  ✓ ch04-p17-s01  (23 chars, 18KB)
  ✓ ch04-p20-s00  (49 chars, 30KB)
  ✓ ch04-p15-s00  (30 chars, 21KB)
  ✓ ch04-p21-s00  (92 chars, 62KB)
  ✓ ch04-p20-s01  (17 chars, 14KB)
  ✓ ch04-p23-s00  (20 chars, 16KB)
  ✓ ch04-p22-s00  (39 chars, 24KB)
  ✓ ch04-p23-s01  (51 chars, 29KB)
  ✓ ch04-p24-s00  (20 chars, 17KB)
  ✓ ch04-p21-s01  (97 chars, 53KB)
  ✓ ch04-p23-s02  (44 chars, 28KB)
  ✓ ch04-p24-s02  (97 chars, 50KB)
  ✓ ch04-p22-s01  (74 chars, 42KB)
  ✓ ch04-p25-s01  (69 chars, 37KB)
  ✓ ch04-p24-s01  (79 chars, 43KB)
  ✓ ch04-p25-s02  (74 chars, 40KB)
  ✓ ch04-p26-s01  (57 chars, 33KB)
  ✓ ch04-p27-s00  (37 chars, 23KB)
  ✓ ch04-p27-s02  (48 chars, 28KB)
  ✓ ch04-p25-s00  (79 chars, 41KB)
  ✓ ch04-p28-s00  (26 chars, 18KB)
  ✓ ch04-p28-s01  (44 chars, 26KB)
  ✓ ch04-p26-s00  (21 chars, 17KB)
  ✓ ch04-p29-s00  (42 chars, 25KB)
  ✓ ch04-p27-s01  (50 chars, 29KB)
  ✓ ch04-p29-s02  (33 chars, 23KB)
  ✓ ch04-p29-s01  (79 chars, 45KB)
  ✓ ch04-p30-s00  (43 chars, 27KB)
  ✓ ch04-p28-s02  (135 chars, 94KB)
  ✓ ch04-p31-s00  (34 chars, 23KB)
  ✓ ch04-p31-s01  (43 chars, 33KB)
  ✓ ch04-p31-s03  (28 chars, 28KB)
  ✓ ch04-p32-s00  (62 chars, 35KB)
  ✓ ch04-p30-s01  (68 chars, 52KB)
  ✓ ch04-p33-s00  (50 chars, 28KB)
  ✓ ch04-p33-s01  (33 chars, 22KB)
  ✓ ch04-p31-s02  (21 chars, 17KB)
  ✓ ch04-p33-s02  (30 chars, 19KB)
  ✓ ch04-p34-s01  (19 chars, 17KB)
  ✓ ch04-p34-s02  (27 chars, 19KB)
  ✓ ch04-p32-s01  (81 chars, 44KB)
  ✓ ch04-p34-s00  (18 chars, 16KB)
  ✓ ch05-p00-s00  (25 chars, 19KB)
  ✓ ch05-p00-s01  (38 chars, 24KB)
  ✓ ch05-p01-s00  (40 chars, 24KB)
  ✓ ch05-p01-s01  (81 chars, 43KB)
  ✓ ch05-p02-s00  (26 chars, 19KB)
  ✓ ch05-p02-s01  (51 chars, 29KB)
  ✓ ch05-p03-s00  (69 chars, 38KB)
  ✓ ch05-p03-s02  (52 chars, 29KB)
  ✓ ch05-p00-s02  (65 chars, 38KB)
  ✓ ch05-p03-s01  (71 chars, 39KB)
  ✓ ch05-p04-s00  (61 chars, 31KB)
  ✓ ch05-p06-s00  (37 chars, 25KB)
  ✓ ch05-p05-s00  (50 chars, 30KB)
  ✓ ch05-p06-s01  (48 chars, 29KB)
  ✓ ch05-p06-s02  (38 chars, 24KB)
  ✓ ch05-p06-s03  (21 chars, 18KB)
  ✓ ch05-p07-s01  (54 chars, 31KB)
  ✓ ch05-p08-s00  (36 chars, 24KB)
  ✓ ch05-p07-s00  (78 chars, 42KB)
  ✓ ch05-p08-s02  (34 chars, 22KB)
  ✓ ch05-p08-s01  (67 chars, 38KB)
  ✓ ch05-p09-s01  (18 chars, 16KB)
  ✓ ch05-p10-s00  (58 chars, 36KB)
  ✓ ch05-p10-s01  (123 chars, 75KB)
  ✓ ch05-p04-s01  (60 chars, 35KB)
  ✓ ch05-p10-s04  (53 chars, 33KB)
  ✓ ch05-p09-s00  (54 chars, 33KB)
  ✓ ch05-p11-s01  (36 chars, 23KB)
  ✓ ch05-p11-s00  (15 chars, 14KB)
  ✓ ch05-p10-s03  (52 chars, 31KB)
  ✓ ch05-p13-s00  (53 chars, 33KB)
  ✓ ch05-p10-s02  (127 chars, 76KB)
  ✓ ch05-p12-s00  (43 chars, 27KB)
  ✓ ch05-p13-s01  (73 chars, 39KB)
  ✓ ch05-p16-s00  (30 chars, 22KB)
  ✓ ch05-p19-s00  (30 chars, 19KB)
  ✓ ch05-p14-s00  (35 chars, 23KB)
  ✓ ch05-p20-s00  (43 chars, 24KB)
  ✓ ch05-p12-s01  (75 chars, 43KB)
  ✓ ch05-p16-s01  (31 chars, 23KB)
  ✓ ch05-p20-s02  (50 chars, 27KB)
  ✓ ch05-p21-s00  (40 chars, 23KB)
  ✓ ch05-p21-s01  (62 chars, 35KB)
  ✓ ch05-p21-s02  (36 chars, 24KB)
  ✓ ch05-p22-s01  (45 chars, 27KB)
  ✓ ch05-p22-s00  (75 chars, 40KB)
  ✓ ch05-p23-s00  (11 chars, 14KB)
  ✓ ch05-p19-s01  (46 chars, 28KB)
  ✓ ch05-p20-s01  (74 chars, 52KB)
  ✓ ch05-p23-s01  (30 chars, 21KB)
  ✓ ch05-p23-s02  (98 chars, 54KB)
  ✓ ch05-p25-s00  (57 chars, 31KB)
  ✓ ch05-p26-s00  (14 chars, 14KB)
  ✓ ch05-p24-s01  (98 chars, 66KB)
  ✓ ch05-p25-s01  (53 chars, 31KB)
  ✓ ch05-p26-s01  (42 chars, 27KB)
  ✓ ch05-p24-s00  (107 chars, 54KB)
  ✓ ch05-p27-s00  (32 chars, 22KB)
  ✓ ch05-p27-s01  (54 chars, 32KB)
  ✓ ch05-p28-s00  (30 chars, 20KB)
  ✓ ch05-p27-s02  (40 chars, 25KB)
  ✓ ch05-p28-s01  (30 chars, 19KB)
  ✓ ch05-p28-s02  (56 chars, 34KB)
  ✓ ch05-p29-s00  (26 chars, 19KB)
  ✓ ch05-p30-s01  (69 chars, 39KB)
  ✓ ch05-p30-s00  (48 chars, 29KB)
  ✓ ch05-p29-s01  (86 chars, 49KB)
  ✓ ch05-p31-s02  (41 chars, 25KB)
  ✓ ch05-p32-s00  (25 chars, 20KB)
  ✓ ch05-p32-s02  (23 chars, 18KB)
  ✓ ch05-p31-s00  (77 chars, 45KB)
  ✓ ch05-p31-s01  (56 chars, 32KB)
  ✓ ch05-p33-s01  (44 chars, 28KB)
  ✓ ch05-p33-s00  (32 chars, 20KB)
  ✓ ch05-p34-s00  (21 chars, 15KB)
  ✓ ch05-p34-s01  (23 chars, 20KB)
  ✓ ch05-p32-s01  (82 chars, 59KB)
  ✓ ch05-p34-s02  (24 chars, 18KB)
  ✓ ch06-p00-s00  (27 chars, 21KB)
  ✓ ch06-p00-s01  (32 chars, 21KB)
  ✓ ch06-p03-s00  (33 chars, 21KB)
  ✓ ch06-p01-s00  (84 chars, 46KB)
  ✓ ch06-p02-s00  (64 chars, 35KB)
  ✓ ch06-p03-s01  (28 chars, 27KB)
  ✓ ch06-p04-s01  (55 chars, 32KB)
  ✓ ch06-p05-s00  (20 chars, 16KB)
  ✓ ch06-p04-s00  (58 chars, 33KB)
  ✓ ch06-p05-s01  (44 chars, 28KB)
  ✓ ch06-p06-s01  (26 chars, 19KB)
  ✓ ch06-p06-s00  (37 chars, 23KB)
  ✓ ch06-p06-s02  (27 chars, 21KB)
  ✓ ch06-p07-s00  (76 chars, 43KB)
  ✓ ch06-p08-s00  (47 chars, 27KB)
  ✓ ch06-p08-s01  (39 chars, 25KB)
  ✓ ch06-p07-s01  (78 chars, 44KB)
  ✓ ch06-p09-s00  (17 chars, 16KB)
  ✓ ch06-p10-s00  (41 chars, 26KB)
  ✓ ch06-p10-s02  (83 chars, 47KB)
  ✓ ch06-p08-s02  (31 chars, 22KB)
  ✓ ch06-p11-s00  (15 chars, 15KB)
  ✓ ch06-p10-s01  (137 chars, 79KB)
  ✓ ch06-p10-s04  (99 chars, 52KB)
  ✓ ch06-p12-s00  (23 chars, 18KB)
  ✓ ch06-p11-s01  (46 chars, 29KB)
  ✓ ch06-p11-s02  (68 chars, 39KB)
  ✓ ch06-p10-s03  (111 chars, 54KB)
  ✓ ch06-p12-s01  (43 chars, 25KB)
  ✓ ch06-p13-s00  (33 chars, 23KB)
  ✓ ch06-p14-s02  (32 chars, 22KB)
  ✓ ch06-p14-s00  (14 chars, 14KB)
  ✓ ch06-p13-s01  (81 chars, 45KB)
  ✓ ch06-p15-s00  (36 chars, 23KB)
  ✓ ch06-p17-s00  (25 chars, 19KB)
  ✓ ch06-p17-s01  (20 chars, 17KB)
  ✓ ch06-p14-s01  (72 chars, 41KB)
  ✓ ch06-p22-s00  (54 chars, 29KB)
  ✓ ch06-p22-s01  (36 chars, 24KB)
  ✓ ch06-p21-s01  (76 chars, 39KB)
  ✓ ch06-p21-s00  (74 chars, 37KB)
  ✓ ch06-p23-s01  (69 chars, 37KB)
  ✓ ch06-p23-s02  (45 chars, 28KB)
  ✓ ch06-p20-s00  (103 chars, 54KB)
  ✓ ch06-p23-s00  (28 chars, 19KB)
  ✓ ch06-p24-s01  (71 chars, 39KB)
  ✓ ch06-p25-s00  (65 chars, 38KB)
